"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","12V","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"C1","1","0.01µF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2","1","470µF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C3","1","47µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C4","1","0.2µF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"D1","1","LED","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"D2","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D3","1","LED","","","","LED_THT:LED_D5.0mm","~"
"Q1,Q2","2","IRLZ24","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.vishay.com/docs/91326/sihlz24.pdf"
"R1,R3,R6","3","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R2","1","22K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R4,R5","2","22R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"RV1","1","10K","","","","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~"
"T1","1","240V to 12V-012V","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"U1","1","IR2153","","","","Package_DIP:DIP-8_W7.62mm","https://www.infineon.com/dgdl/ir2153.pdf?fileId=5546d462533600a4015355c8c5fc16af"
